"AreaCode"
"key","code","name","note",
"1","Acornhoek 013","Acornhoek 013","013 Acornhoek,South Africa",
"2","Addo 042","Addo 042","042 Addo,South Africa",
"3","Adelaide 046","Adelaide 046","046 Adelaide,South Africa",
"4","Aggeneys 054","Aggeneys 054","054 Aggeneys,South Africa",
"5","Albertinia 028","Albertinia 028","028 Albertinia,South Africa",
"6","Alberton 011","Alberton 011","011 Alberton,South Africa",
"7","Alettasrus 053","Alettasrus 053","053 Alettasrus,South Africa",
"8","Alexander 027","Alexander 027","027 Alexander,South Africa",
"9","Alexandria 046","Alexandria 046","046 Alexandria,South Africa",
"10","Alice 040","Alice 040","040 Alice,South Africa",
"11","Alicedale 042","Alicedale 042","042 Alicedale,South Africa",
"12","Aliwal North 051","Aliwal North 051","051 Aliwal North,South Africa",
"13","Allanridge 057","Allanridge 057","057 Allanridge,South Africa",
"14","Alldays 015","Alldays 015","015 Alldays,South Africa",
"15","Alma 014","Alma 014","014 Alma,South Africa",
"16","Amalia 053","Amalia 053","053 Amalia,South Africa",
"17","Amandelbult 014","Amandelbult 014","014 Amandelbult,South Africa",
"18","Amanzimtoti 031","Amanzimtoti 031","031 Amanzimtoti,South Africa",
"19","Amatikulu 035","Amatikulu 035","035 Amatikulu,South Africa",
"20","Amersfoort 017","Amersfoort 017","017 Amersfoort,South Africa",
"21","Amsterdam 017","Amsterdam 017","017 Amsterdam,South Africa",
"22","Anerley 039","Anerley 039","039 Anerley,South Africa",
"23","Apel 015","Apel 015","015 Apel,South Africa",
"24","Arabiedam 013","Arabiedam 013","013 Arabiedam,South Africa",
"25","Arboretum 035","Arboretum 035","035 Arboretum,South Africa",
"26","Arlington 058","Arlington 058","058 Arlington,South Africa",
"27","Arnot 013","Arnot 013","013 Arnot,South Africa",
"28","Arthur Stone 013","Arthur Stone 013","013 Arthur Stone,South Africa",
"29","Ashton 023","Ashton 023","023 Ashton,South Africa",
"30","Askham 054","Askham 054","054 Askham,South Africa",
"31","Atamelang 018","Atamelang 018","018 Atamelang,South Africa",
"32","Atlantis 021","Atlantis 021","021 Atlantis,South Africa",
"33","Atok 015","Atok 015","015 Atok,South Africa",
"34","Attiesplaas 05462","Attiesplaas 05462","05462 Attiesplaas,South Africa",
"35","Attridgeville 012","Attridgeville 012","012 Attridgeville,South Africa",
"36","Augrabies 054","Augrabies 054","054 Augrabies,South Africa",
"37","Aurora 022","Aurora 022","022 Aurora,South Africa",
"38","Austins Post 051742","Austins Post 051742","051742 Austins Post,South Africa",
"39","Avontuur 044","Avontuur 044","044 Avontuur,South Africa",
"40","Babanango 035","Babanango 035","035 Babanango,South Africa",
"41","Babethu 013","Babethu 013","013 Babethu,South Africa",
"42","Badplaas 017","Badplaas 017","017 Badplaas,South Africa",
"43","Bahlalerwa 014","Bahlalerwa 014","014 Bahlalerwa,South Africa",
"44","Bakenberg 015","Bakenberg 015","015 Bakenberg,South Africa",
"45","Bakone 015","Bakone 015","015 Bakone,South Africa",
"46","Balema 014","Balema 014","014 Balema,South Africa",
"47","Balfour 017","Balfour 017","017 Balfour,South Africa",
"48","Balfour 040","Balfour 040","040 Balfour,South Africa",
"49","Ballito 032","Ballito 032","032 Ballito,South Africa",
"50","Balmoral 013","Balmoral 013","013 Balmoral,South Africa",
"51","Bamaaka 014","Bamaaka 014","014 Bamaaka,South Africa",
"52","Bamokgoko 012","Bamokgoko 012","012 Bamokgoko,South Africa",
"53","Barberton 013","Barberton 013","013 Barberton,South Africa",
"54","Barkly East 045","Barkly East 045","045 Barkly East,South Africa",
"55","Barkly West 053","Barkly West 053","053 Barkly West,South Africa",
"56","Barrydale 028","Barrydale 028","028 Barrydale,South Africa",
"57","Bathrust 046","Bathrust 046","046 Bathrust,South Africa",
"58","Beaufort West 023","Beaufort West 023","023 Beaufort West,South Africa",
"59","Bedford 046","Bedford 046","046 Bedford,South Africa",
"60","Beeldhouwersf 049","Beeldhouwersfontein 049","049 Beeldhouwersfontein,South Africa",
"61","Beestekraal 012","Beestekraal 012","012 Beestekraal,South Africa",
"62","Beitbridge 015","Beitbridge 015","015 Beitbridge,South Africa",
"63","BelaBela 014","Bela-Bela 014","014 Bela-Bela,South Africa",
"64","Belfast 013","Belfast 013","013 Belfast,South Africa",
