"CardMetadataType"
"key","code","name","note",
"8","AwardedRewardId","Awarded Reward Id","Awarded Reward Id",
"3","EarnedPoints","Earned Points","Earned Points",
"11","GoalEndDate","Goal End Date","Goal End Date",
"15","GoalStartDate","Goal Start Date","Goal Start Date",
"4","NumOfLinkedDevices","The number of linked devices a member has","The number of linked devices a member has",
"1","PotentialPoints","Potential Points","Potential Points",
"6","RewardId","Reward Id","Reward Id",
"5","RewardName","Reward Name","Reward Name",
"2","RewardType","Reward Type","Reward Type",
"9","RewardValueAmount","Reward Value Amount","Reward Value Amount",
"13","RewardValueDesc","Reward Value Desc","Reward Value Desc",
"12","RewardValuePercent","Reward Value Percent","RewardV alue Percent",
"7","RewardValueQuantity","Reward Value Quantity","Reward Value Quantity",
"17","RewardValueType","Reward Value Type","The Type key for reward value. (E.g. Monetary value, Discount, Reard Item)",
"16","VitalityStatus","Vitality Status","Vitality Status",
