"CardStatusType"
"key","code","name","note",
"7","Achieved","Achieved","Achieved",
"9","Activated","Activated","Activated",
"10","Available","Available","Available",
"14","AvailableToRedeem","Available to Redeem","Available to Redeem",
"12","ConfirmDetails","Confirm Details","Confirm Details",
"5","Delinked","Delinked","Delinked",
"3","Done","Done","Done",
"2","InProgress","In Progress","In Progress",
"4","Linked","Linked","Linked",
"13","NotIssued","Not Issued","Not Issued",
"1","NotStarted","Not Started","Not Started",
"11","PaymentsNotProcessed","Payments Not Processed","Payment attempted but could not be completed due to an error",
"15","Pending","Pending","Pending",
