"CardType"
"key","cardUnitType","code","name","note","sectionType",
"7","null","ActiveRewards","Active Rewards","Active Rewards","null",
"9","null","AppleWatch","Apple Watch","Apple Watch","null",
"16","null","DeviceCashback","Device Cashback","Device Cashback","null",
"6","null","HealthHub ","Health Hub ","Health Hub ","null",
"13","null","HealthPartners","Health Partners","Health Partners","null",
"12","null","MentalWellbeing","Mental Wellbeing Assessment (MWB)","Mental Wellbeing Assessment (MWB)","null",
"3","null","NonSmokersDecl","Non-Smoker's Declaration","Non-Smoker's Declaration","null",
"18","null","OrganisedFitnessEvents","Organised Fitness Events","Organised Fitness Events (OFE)","null",
"21","null","PolicyCashback","Policy Cashback","Policy Cashback","null",
"15","null","RewardPartners","Reward Partners","Reward Partners","null",
"22","null","RewardSelection","Reward Selection","Reward Selection","null",
"10","null","Reward/s","Reward/s","Reward/s","null",
"5","null","ScreenandVacc","Screenings and Vaccinations (S&V)","Screenings and Vaccinations (S&V)","null",
"2","null","VitNutAssessment","Vitality Nutrition Assessment (VNA)","Vitality Nutrition Assessment (VNA)","null",
"4","null","VitalityHealthCheck","Vitality Health Check (VHC)","Vitality Health Check (VHC)","null",
"1","null","VitalityHealthReview","Vitality Health Review (VHR)","Vitality Health Review (VHR)","null",
"11","null","Voucher/s","Voucher/s","Voucher/s","null",
"8","null","WellDevandApps","Wellness Devices and Apps","Wellness Devices and Apps","null",
"14","null","WellnessPartners","Wellness Partners","Wellness Partners","null",
"23","null","HealthServices","Your Health Services","Your Health Services","null",
