"EventCategory"
"key","code","name","note",
"2","Agreement","Enrolment is the process wherein the Person and the Vitality Membership is created or updated.","Enrolment is the process wherein the Person and the Vitality Membership is created or updated.",
"6","Assessment","Defined as a list of questions and answers.","Defined as a list of questions and answers.",
"20","DataPrivacy","Consent to data privacy requirement","Consent to data privacy requirement",
"12","Device","Wareable device management.","Wareable device management.",
"28","Disclaimer","Disclaimer","Disclaimer",
"16","DocumentManagement","Documentation management entails the storage management+tracking of generated material","Documentation management entails the storage management+tracking of generated material",
"21","Enrollment","Deals with the Enrollment process","Deals with the Enrollment process",
"7","Error","Any errors encountered during the front end member journey. These should log an error event.","Any errors encountered during the front end member journey. These should log an error event.",
"9","Finance","Accounting billing and instruction methods.","Accounting billing and instruction methods.",
"27","Fitness","Fitness","Fitness",
"18","HealthAttribute","Defined as a set of measurment for a party.","Defined as a set of measurment for a party.",
"13","Integration","Carrier intergration requirements.","Carrier intergration requirements.",
"17","Legal","Defined as the law or its administration of consents.","Defined as the law or its administration of consents.",
"1","Login","Deals with the logging in process of going through the procedures to begin using the app/site.","Deals with the logging in process of going through the procedures to begin using the app/site.",
"8","Notification","Communication sent to a party.","Communication sent to a party.",
"26","Nutrition","Nutrition assessments or healthyfood events","Nutrition assessments or healthyfood events",
"11","Points","Points maintenance stores the fact that you did a points earning event and how many points you got","Points maintenance stores the fact that you did a points earning event and how many points you got",
"14","Product","The product component stores the details of a product that is to be marketed","The product component stores the details of a product that is to be marketed",
"5","Reward","Generates the reward for the member.","Generates the reward for the member.",
"25","ScreenAndVacc","Screenings and Vaccinations","Screenings and Vaccinations",
"23","Screenings","Tests to screen for a defined list of medical conditions","Tests to screen for a defined list of medical conditions",
"3","Servicing","Servicing entails updating and assisting the party during the member journey process.","Servicing entails updating and assisting the party during the member journey process.",
"10","Social","Friend family and group sharing.","Friend family and group sharing.",
"15","Status","Defined as the Vitality Status i.e. bronze silver gold","Defined as the Vitality Status i.e. bronze silver gold",
"4","Target","Defined as the mechanism of defining and managing the goals for members.","Defined as the mechanism of defining and managing the goals for members.",
"19","TermsAndConditions","Defined as the Terms and Conditions consents.","Defined as the Terms and Conditions consents.",
"22","VHC","Vitality Health Check","Vitality Health Check",
"24","Vaccinations","Vaccinations required as per the defined list","Vaccinations required as per the defined list",
