"EventMetaDataType"
"key","code","metaDataType","name","note",
"93","ActiveEnergyExpend","null","Active energy expended that can be distinctly attributed to the users fitness activity","Active energy expended that can be distinctly attributed to the users fitness activity",
"168","AgreementID","null","The Id of the agreement in the Programme Context","The Id of the agreement in the Programme Context",
"169","AgreementType","null","The Type of the agreement within the Programme Context","The Type of the agreement within the Programme Context",
"156","AmbTmpHumidity","null","Measured surrounding humidity for the ambient temperature measurement","Measured surrounding humidity for the ambient temperature measurement",
"160","AmbTmpLocatAccuracy","null","Accuracy value of the location for the ambient temperature measurement","Accuracy value of the location for the ambient temperature measurement",
"159","AmbTmpLocatAltitude","null","Altitude value of the place for the ambient temperature measurement","Altitude value of the place for the ambient temperature measurement",
"157","AmbTmpLocatLatitude","null","Latitude value for ambient temperature measurement","Latitude value for ambient temperature measurement",
"158","AmbTmpLocatLongitude","null","Longitude value for ambient temperature measurement","Longitude value for ambient temperature measurement",
"66","AverageHeartRate","null","Average measure of the number of heart beats per minute during a workout session","Average measure of the number of heart beats per minute during a workout session",
"87","AveragePace","null","Average measure of minutes per kilometer during a workout","Average measure of minutes per kilometer during a workout",
"84","AveragePower","null","Average measure of power ","Average measure of power ",
"58","AverageSpeed","null","Average measure of speed during a workout session ","Average measure of speed during a workout session ",
"75","AverageStrideRate","null","Average number of steps taken per minute during a workout session","Average number of steps taken per minute during a workout session",
"94","AvgActiveEnergyExpen","null","Average active energy expended that can be distinctly attributed to the users fitness activity","Average active energy expended that can be distinctly attributed to the users fitness activity",
"78","AvgCadenceCycling","null","Average measure of the pedaling rate (in revolutions per minute [rpm]) when cycling","Average measure of the pedaling rate (in revolutions per minute [rpm]) when cycling",
"57","AvgEnergyExpenditure","null","Average energy expended that can be distinctly attributed to the users fitness activity","Average energy expended that can be distinctly attributed to the users fitness activity",
"24","AvgFoodEnergyRate","null","The average rate that the energy is used","The average rate that the energy is used",
"96","AvgRestEnergyExpend","null","Average amount of energy expended while minimally active (user's basal metabolic rate)","Average amount of energy expended while minimally active (user's basal metabolic rate)",
"81","AvgStrokeSwimming","null","Average stroke value at which the user is swimming","Average stroke value at which the user is swimming",
"187","AwardedRewardId","null","Awarded Reward Id","Awarded Reward Id",
"107","BMI","null","Body Mass Index measured in kg/square metres","Body Mass Index measured in kg/square metres",
"100","BPLBloodPressure","null","Blood pressure load","Blood pressure load",
