"EventSource"
"key","code","name","note",
"6","Benefit","Benefits system","Benefits system",
"11","Enrollment","Enrollment service","Enrollment service",
"5","Finance","Finance system","Finance system",
"2","Goals","Goals system","Goals system",
"1","MobileApp","Mobile App","Mobile App",
"14","NuffieldHealthSystem","Nuffield Health System","Nuffield Health System",
"13","Partner","Partner","Partner",
"9","Party","Party system","Party system",
"4","Purchase","Purchase system","Purchase system",
"3","Rewards","Rewards system","Rewards system",
"8","VDP","Vitality Device Platform","Vitality Device Platform",
"12","VMP","Vitality Membership Portal","Vitality Membership Portal",
"10","VSP","Vitality Service Portal","Vitality Service Portal",
"7","VitalityMembership","Vitaltiy Membership system","Vitaltiy Membership system",
