"EventType"
"key","code","eventCategory","name","note",
"152","ARGoalAchieve","null","Active Rewards Goal Achieve","Active Rewards Goal Achieve",
"153","ARGoalManualCancel","null","Active Rewards Goal Manual Cancel","Active Rewards Goal Manual Cancel",
"154","ARGoalSystemCancel","null","Active Rewards Goal System Cancel","Active Rewards Goal System Cancel",
"151","ARSetGoalTracker","null","Active Rewards Set Goal Tracker","Active Rewards Set Goal Tracker",
"73","ARTandCAgree","null","Active Rewards Terms and Conditions Agree","Active Rewards Terms and Conditions Agree",
"74","ARTandCDisagree","null","Active Rewards Terms and Conditions Disagree","Active Rewards Terms and Conditions Disagree",
"148","AWGoalAchieve","null","Apple Watch Goal Achieve","Apple Watch Goal Achieve",
"149","AWGoalManualCancel","null","Apple Watch Goal Manual Cancel","Apple Watch Goal Manual Cancel",
"150","AWGoalSystemCancel","null","Apple Watch Goal System Cancel","Apple Watch Goal System Cancel",
"147","AWSetGoalTracker","null","Apple Watch Set Goal Tracker","Apple Watch Set Goal Tracker",
"79","ActivateVMembership","null","Activate Vitality Membership","Activate Vitality Membership",
"185","AdidasAgree","null","Member Agrees to Adidas Data Sharing Popup","Member Agrees to Adidas Data Sharing Popup",
"186","AdidasDisagree","null","Member Disagrees to Adidas Data Sharing Popup","Member Disagrees to Adidas Data Sharing Popup",
"54","AgreemntMembCanceltn","null","Membership Cancellations","Membership Cancellations",
"56","AgreemntMembSuspnsn","null","Membership Suspension","Membership Suspension",
"189","AnaAgree","null","Member Agrees to Ana Data Sharing Popup","Member Agrees to Ana Data Sharing Popup",
"190","AnaDisagree","null","Member Disagrees to Ana Data Sharing Popup","Member Disagrees to Ana Data Sharing Popup",
"203","AppleAgree","null","Member Agrees to Apple Data Sharing Popup","Member Agrees to Apple Data Sharing Popup",
"204","AppleDisagree","null","Member Disagrees to Apple Data Sharing Popup","Member Disagrees to Apple Data Sharing Popup",
"62","AssessmentStatus","null","Assessment Status","Assessment Status",
"99","BMI","null","Body Mass Index","Body Mass Index",
"39","BlockFriends","null","Block Friends","Block Friends",
"135","BloodPressure","null","The systolic and diastolic reading of blood pressure","The systolic and diastolic reading of blood pressure",
"82","CancelVMembership","null","Cancel Vitality Membership","Cancel Vitality Membership",
"109","Cardiovascular","null","Cardiovascular or heart-health screening","Cardiovascular or heart-health screening",
"51","CarrierIntegration","null","Carrier Integration","Carrier Integration",
"213","ChangePassword","null","Password Change Success","Member's Password has been changed successfully. ",
"212","ChangeUsername","null","Username Change Success","Member's Username has been changed successfully",
"113","Childhood","null","Childhood","Childhood",
"106","Colonoscopy","null","Colonoscopy","Colonoscopy",
"81","CommenceDateUpdate","null","Update Date Membership Commencement Date","Update Date Membership Commencement Date",
"86","CreateEntity","null","Create Entity","Create Entity",
"132","CreateParty","null","Create a new Party","Create a new Party",
"134","CreatePartyCredtls","null","Create Party Credentials","Create Party Credentials",
"71","DPPolicyAgree","null","Devices Privacy Policy agree","Devices Privacy Policy agree",
"72","DPPolicyDisagree","null","Devices Privacy Policy disagree","Devices Privacy Policy disagree",
"160","DailyMealsComp","null","DailyMealsComp","Completion of the Daily Meals Section of the VNA",
"75","DataPrivacyAccept","null","Accept data privacy for device linking","Accept data privacy for device linking",
"60","DataSharingConsent","null","Data Sharing Consent","Data Sharing Consent",
"32","DefaultPayment","null","Default Payment","Default Payment",
"104","DentalCheckups","null","Dental Checkups captured","Dental Checkups captured",
"121","DeviceDataUpload","null","Device Data Upload","Device Data Upload",
"45","DeviceDelinking","null","Device Delinking","Device Delinking",
"43","DeviceLinking","null","Device Linking","Device Linking",
"44","DeviceSyncing","null","Device Syncing","Device Syncing",
"93","DiastolicPressure","null","Diastolic Blood Pressure","Diastolic Blood Pressure",
"157","DocumentUploadsSV","null","SV Document Uploads","Screenings and Vaccination Document Uploads",
"48","DocumentUploadsVHC","null","VHC Document Uploads","VHC Document Uploads",
"28","EmailNotification","null","Email Notification","Email Notification",
"7","EnrolmentSuccessful","null","Enrolment Successful","Enrolment Successful",
"8","EnrolmentUnsuccessfl","null","Enrolment Unsuccessful","Enrolment Unsuccessful",
"26","ExpRwdRedmtnPeriod","null","Reward Redemption expiry alert","Reward Redemption expiry alert",
"25","ExpiringRwrdPeriod","null","Reward period expiry alert","Reward period expiry alert",
"24","ExpiringSpin","null","Spin expiry alert","Spin expiry alert",
"80","ExtendVMembership","null","Extend Vitality Membership","Extend Vitality Membership",
"105","FOBT","null","Fecal Occult Blood Test captured","Fecal Occult Blood Test captured",
"90","FastingGlucose","null","Fasting Blood Glucose captured","Fasting Blood Glucose captured",
"70","Feedback","null","Feedback","Feedback",
"183","FitbitAgree","null","Member Agrees to Fitbit Data Sharing Popup","Member Agrees to Fitbit Data Sharing Popup",
"184","FitbitDisagree","null","Member Disagrees to Fitbit Data Sharing Popup","Member Disagrees to Fitbit Data Sharing Popup",
"112","Flu","null","Flu","Flu",
"161","FoodChoicesComp","null","FoodChoicesComp","Completion of the Food Choices Section of the VNA",
"181","GarminAgree","null","Member Agrees to Garmin Data Sharing Popup","Member Agrees to Garmin Data Sharing Popup",
"182","GarminDisagree","null","Member Disagrees to Garmin Data Sharing Popup","Member Disagrees to Garmin Data Sharing Popup",
"101","GastricCancer","null","Gastric Cancer captured","Gastric Cancer captured",
"205","GifteeAgree","null","Member Agrees to Giftee Data Sharing Popup","Member Agrees to Giftee Data Sharing Popup",
"206","GifteeDisagree","null","Member Disagrees to Giftee Data Sharing Popup","Member Disagrees to Giftee Data Sharing Popup",
"102","Glaucoma","null","Glaucoma captured","Glaucoma captured",
"138","GnrlHealthComp","null","Completion of the Genereal Health Section of the VHR","Completion of the Genereal Health Section of the VHR",
"10","GoalAchieved","null","Goal Achieved","Goal Achieved",
"13","GoalAchievedManually","null","Goal Achieved Manually","Goal Achieved Manually",
"143","GoalCancelManual","null","A manual cancellation of a member goal","A manual cancellation of a member goal",
"142","GoalCancelSystem","null","The system cancellation of a member goal","The system cancellation of a member goal",
"12","GoalMissed","null","Goal Missed","Goal Missed",
"11","GoalSet","null","Goal Set","Goal Set",
"163","GymWorkout","null","Gym Workout","Fitness: Gym Workout",
"95","HDLCholesterol","null","HDL Cholesterol","HDL Cholesterol",
"103","HIV","null","Human Immunodeficiency Virus captured","Human Immunodeficiency Virus captured",
"114","HPV","null","Human papillomavirus","Human papillomavirus",
"98","HbA1c","null","Glycated Haemoglobin captured","Glycated Haemoglobin captured",
"127","HealthyFoodSpend","null","Healthy Food spend","Healthy Food spend",
"87","HeightCaptured","null","Height captured","Height captured",
"9","HelpCenter","null","Help Center","Help Center",
"117","HepatitisB","null","Hepatitis B","Hepatitis B",
"199","Hotels.comAgree","null","Member Agrees to Hotels.com Data Sharing Popup","Member Agrees to Hotels.com Data Sharing Popup",
"200","Hotels.comDisagree","null","Member Disagrees to Hotels.com Data Sharing Popup","Member Disagrees to Hotels.com Data Sharing Popup",
"193","KonamiAgree","null","Member Agrees to Konami Data Sharing Popup","Member Agrees to Konami Data Sharing Popup",
"194","KonamiDisagree","null","Member Disagrees to Konami Data Sharing Popup","Member Disagrees to Konami Data Sharing Popup",
