"InstructionReference"
"key","code","name","note",
"1","Activate","Activate","Activate -  Gym maintenance",
"21","Activate New","Activate New","Activate New  - Used to activate a members Vitality membership.",
"22","ActivateExisiting","Activate Exisiting","Activate Exisiting - If a party already exists for the person for which a Vitality membership activation is requested. Vitality can re-use the existing party and create a new membership for that party where the party have membership in the past",
"10","ActivateMembership","Activate Membership","Activate Membership - Vitality membership",
"6","AddPurchaseItem","Add Purchase Item","Add Purchase Item - Purchase",
"4","Cancel","Cancel","Cancel - Purchase,Gym maintenance,Vitality membership",
"25","CancelInception","Cancel Inception","Cancel Inception - Used to end date a members Vitality Membership to the start date of the membership.",
"8","CancelPurchaseItem","Cancel Purchase Item","Cancel Purchase Item - Purchase",
"2","Capture","Capture","Capture - Purchase",
"30","Create","Create","Create - Used to update a party details. An example of party update would be updates to the Party?s name.",
"29","CreateRole","Create Role","Create Role - Used to create a new membership role",
"28","DeleteRole","Delete Role","Delete Role - Used to delete the membership role",
"27","Extend","Extend","Extend - Used to extend a members Vitality membership beyond the current date.",
"12","MaintainMembership","Maintain Membership","Maintain Membership - Vitality membership",
"20","MaintainParty","Maintain Party","Maintain Party - Vitality membership",
"14","Reinstate","Reinstate","Reinstate - Gym maintenance,Vitality membership",
"5","Return","Return","Return -  Purchase",
"9","ReturnPurchaseItem","Return PurchaseItem","Return PurchaseItem - Purchase",
"11","Suspend","Suspend","Suspend - Gym Maintenace",
"13","Unsuspend","Unsuspend","Unsuspend - Gym maintenance",
"3","Update","Update","Update - Purchase,Gym maintenance,Vitality membership",
"26","UpdateProduct","Update Product","Update Product - Used to update the membership product",
"7","UpdatePurchaseItem","Update Purchase Item","Update Purchase Item - Purchase",
"23","UpdateRole","Update Role","Update Role - Updates the membership party role",
"24","UpdateStartDate","Update Start Date","Update Start Date - Used to update the Vitality Membership details.",
