"LanguageFamily"
"key","code","name","note",
"1","AfroAsiatic","AfroAsiatic languages","AfroAsiatic languages",
"2","Alacalufan","Alacalufan languages","Alacalufan languages",
"3","Algic","Algic languages","Algic languages",
"4","Andamanese","Andamanese languages","Andamanese languages",
"5","Arauan","Arauan languages","Arauan languages",
"6","Araucanian","Araucanian languages","Araucanian languages",
"7","Arawakan","Arawakan languages","Arawakan languages",
"8","Arnhem Land","Arnhem Land languages","Arnhem Land languages",
"9","ArutaniSape","ArutaniSape languages","ArutaniSape languages",
"10","Austroasiatic","Austroasiatic languages","Austroasiatic languages",
"11","Austronesian","Austronesian languages","Austronesian languages",
"12","Aymaran","Aymaran languages","Aymaran languages",
"13","Baining","Baining languages","Baining languages",
"14","Barbacoan","Barbacoan languages","Barbacoan languages",
"15","Border","Border languages","Border languages",
"16","Bunaban","Bunaban languages","Bunaban languages",
"17","Caddoan","Caddoan languages","Caddoan languages",
"18","Cahuapanan","Cahuapanan languages","Cahuapanan languages",
"19","Carib","Carib languages","Carib languages",
"20","Catacaoan","Catacaoan languages","Catacaoan languages",
"21","Central Solomons","Central Solomons languages","Central Solomons languages",
"22","Chapacuran","Chapacuran languages","Chapacuran languages",
"23","Charruan","Charruan languages","Charruan languages",
"24","Chibchan","Chibchan languages","Chibchan languages",
"25","Chimakuan","Chimakuan languages","Chimakuan languages",
"26","Chimuan","Chimuan languages","Chimuan languages",
"27","Choco","Choco languages","Choco languages",
"28","Chon","Chon languages","Chon languages",
"29","Djeragan","Djeragan languages","Djeragan languages",
"30","Dravidian","Dravidian languages","Dravidian languages",
"32","East Geelvink Bay","East Geelvink Bay languages","East Geelvink Bay languages",
"31","EastBirds Head Sen","East Birds Head ? Sentani languages","East Birds Head ? Sentani languages",
"33","Eastern TransFly","Eastern TransFly languages","Eastern TransFly languages",
"34","EskimoAleut","EskimoAleut languages","EskimoAleut languages",
"35","EsmereldaYaruro","EsmereldaYaruro languages","EsmereldaYaruro languages",
"36","Fas","Fas languages","Fas languages",
"37","Ge","Ge languages","Ge languages",
"38","Guaicuruan","Guaicuruan languages","Guaicuruan languages",
"39","Gunwinyguan","Gunwinyguan languages","Gunwinyguan languages",
"40","HibitoCholon","HibitoCholon languages","HibitoCholon languages",
"41","Hod","Hod languages","Hod languages",
"42","Hokan","Hokan languages","Hokan languages",
"43","IndoEuropean","IndoEuropean languages","IndoEuropean languages",
"44","Iroquoian","Iroquoian languages","Iroquoian languages",
"45","Japonic","Japonic languages","Japonic languages",
"46","Jicaquean","Jicaquean languages","Jicaquean languages",
"47","Jirajaran","Jirajaran languages","Jirajaran languages",
"48","Jivaroan","Jivaroan languages","Jivaroan languages",
"49","Kadu","Kadu languages","Kadu languages",
"50","Kartvelian","Kartvelian languages","Kartvelian languages",
"51","KatembriTaruma","KatembriTaruma languages","KatembriTaruma languages",
"52","Katukinan","Katukinan languages","Katukinan languages",
"53","Keres","Keres languages","Keres languages",
"54","Khoe","Khoe languages","Khoe languages",
"55","Koman","Koman languages","Koman languages",
"56","Koreanic","Koreanic languages","Koreanic languages",
"57","Kwomtari","Kwomtari languages","Kwomtari languages",
