"LinkType"
"key","code","name","note",
"10","DSInstructionType","Data Sharing user instruction link to feature","Data Sharing user instruction link to feature",
"2","EventCategory","Event category link to feature","Event category link to feature",
"1","EventType","Event type link to feature","Event type link to feature",
"4","HealthAttributeType","Health attribute type link to feature","Health attribute type link to feature",
"3","PointsCategory","Points category link to feature","Points category link to feature",
"8","PointsEntryType","Points Entry Type","Points Entry Type",
"6","Product","Product link to feature","Product link to feature",
"7","ProductSupplier","Product Supplier link to feature","Defines which supplier provides the product in the context of the feature",
"9","Reward","Reward link to feature","Reward link to feature",
"5","Status","Status link to feature","Status link to feature",
