"PartyAttributeFeedback"
"key","code","name","note","partyAttributeFeedbackType",
"81","AddedSaltAbove","Too Much","null","null",
"80","AddedSaltHealthy","Looking Good","null","null",
"155","AddedSaltPregAbove","Too much","null","null",
"156","AddedSaltPregHealthy","Looking Good","null","null",
"41","AlcoholAbove","Too High","null","null",
"119","AlcoholDoNotConsume","You do not consume alcohol","null","null",
"40","AlcoholHealthy","Looking Good","null","null",
"121","AlcoholPregAbove","Too high","null","null",
"120","AlcoholPregHealthy","Looking Good","null","null",
"1","BMIAbove","Your BMI is above the recommended range, consider more physical activities to improve your BMI","","-Recommendation-PartyAttributeFeedbackType",
"3","BMIBelow","Your BMI is below the recommended range, please contact your general health practitioner","","-Recommendation-PartyAttributeFeedbackType",
"2","BMIHealthy","Your BMI is healthy, keep up the good work","","-Conclusion-PartyAttributeFeedbackType",
"122","BMIPregAbove","Too high","null","null",
"42","MBIStatusAbove","Too High","null","null",
"44","BMIStatusBelow","Too Low","null","null",
"43","MBIStatusHealthy","Looking Good","null","null",
"123","BMIStatusPregHealthy","Looking Good","null","null",
"150","BloodPAbovePhysOOR","Too high","null","null",
"153","BloodPHealthyBMIOOR","Looking Good","null","null",
"149","BloodPHealthyPhysOOR","Looking Good","null","null",
"148","BloodPresPregHealthy","Looking Good","null","null",
"111","BloodPressAboveARNA","Too High","null","null",
"151","BloodPressBMIAbove","Too high","null","null",
"110","BloodPressHealthARNA","Looking Good","null","null",
"152","BloodPressHealthyBMI","Looking Good","null","null",
"147","BloodPressPregAbove","Too high","null","null",
"65","BloodPressureAbove","Too High","null","null",
"64","BloodPressureHealthy","Looking Good","null","null",
"9","DiastolicAbove","Your Diastolic Blood Pressure is above the recommended range, improve your eating habits","","-Conclusion-PartyAttributeFeedbackType",
"10","DiastolicHealthy","Your Diastolic Blood Pressure is healthy, keep up the good work","","-Observation-PartyAttributeFeedbackType",
"141","FastGlucHealthyBMIOOR","Looking Good","null","null",
"139","FGlucHealthyPhysOOR","Looking Good","null","null",
"20","FGlucoseInRange","Your Fasting Glucose is healthy","Your Fasting Glucose is healthy, keep up the good work","null",
"21","FGlucoseOutRange","Your Fasting Glucose is outside the recommended healthy range","Your Fasting Glucose is outside the recommended healthy range","null",
"142","FastGlucAbovePhysOOR","Too high","null","null",
"140","FastGlucBMIHealthy","Looking Good","null","null",
"108","FastGlucHealthyARNA","Looking Good","null","null",
"137","FastGlucPregAbove","Too high","null","null",
"138","FastGlucPregHealthy","Looking Good","null","null",
"109","FastingGlucAboveARNA","Too High","null","null",
"143","FastingGlucBMIAbove","Too high","null","null",
"60","FastingGlucosHealthy","Looking Good","null","null",
"61","FastingGlucoseAbove","Too High","null","null",
"51","FlexibilityBelow","Too Little","null","null",
"50","FlexibilityGood","Looking Good","null","null",
"126","FlexibilityPregBelow","Too little","null","null",
"127","FlexibilityPregGood","Looking Good","null","null",
"163","FruitConsPregBelow","Too low","null","null",
"162","FruitConsPregHealthy","Looking Good","null","null",
"89","FruitConsumBelow","Too Low","null","null",
"88","FruitConsumHealthy","Looking Good","null","null",
"72","HDLCholBelow","Too Low","null","null",
"71","HDLCholHealthy","Looking Good","null","null",
"32","HDLInRange","Congratulations","Congratulations","null",
"33","HDLOutRange","#NAME#","#NOTE#","null",
"63","HbA1cAbove","Too High","null","null",
"146","HbA1cAbovePhysOOR","Too high","null","null",
"62","HbA1cHealthy","Looking Good","null","null",
"145","HbA1cHealthyPhysOOR","Looking Good","null","null",
"18","HbA1cInRange","Your HbA1c reading is healthy! Keep up the good work","Your HbA1c reading is healthy! Keep up the good work","null",
"19","HbA1cOutRange","Your HbA1c reading is outside the recommended healthy range","Your HbA1c reading is outside the recommended healthy range","null",
"144","HbA1cPregAbove","Too high","null","null",
"160","HighFatConPregHealth","Looking Good","null","null",
"161","HighFatConsPregAbove","Too high","null","null",
"87","HighFatConsumAbove","Too High","null","null",
