"PartyAttributeFeedbackTip"
"key","code","name","note",
"55","ActRewardsStress","Activate Active Rewards","Get moving and earn rewards!",
"96","AlcoholHydrate","Stay hydrated","Have a glass of water and alternate.",
"99","AlcoholMaintain","Not a problem","If you have some, keep it in the limit",
"7","BMIDocEatHealthy","Try to reach a healthy weight","To maintain a  healthy weight pay attention to what you eat",
"8","BMIDocHealthyWeight","Try to reach a healthy weight ","To maintain a  healthy weight pay attention to what you eat",
"103","BMIPreg","You are Pregnant","BMI is not an accurate measurement for pregnant women.",
"128","CheckBloodSugar","Check you levels","Checking blood sugar on your own is still necessary.",
"87","DairyCalPot","Very dairy","Dairy products are high in calcium and low in sodium (salt).",
"88","DairyNoEat","Very dairy","Dairy products contain important nutrients such as calcium and B-vitamins which benefit health.",
"167","DietAdvice","Advice","Take care of your diet.",
"98","DrinkMakeSmallSize","Make it a smaller one","Literally drink a little less",
"100","DrinkPregNot","You are Pregnant","Alcohol can be very dangerous for you and your baby",
"97","DrinkSetLimit","Make a plan","Set a limit and budget",
"41","EatBreakfast1","Consistent eating habits","Don't skip meals, especially breakfast.",
"127","EatBreakfast2","Consistent eating habits","Don't skip meals, especially breakfast.",
"162","EatDairy","Dear dairy","Low fat and fat free dairy products are nutritious and may help you lose weight.",
"164","EatDairyIfNot","Very dairy","Dairy products contain important nutrients such as calcium and B-vitamins which benefit health.",
"34","EatFibre","Add some fibre","fibre slows carb digestion and sugar absorption.",
"81","EatFruitExtra","Fruit as a snack","Get extra servings as snacks between meals ",
"160","EatPlantProtein","Plant protein in your body","Try and get the protein your body needs through plant protein sources.",
"83","EatVeg","Go green","Eating vegetables can reduce your risk for some cancers and heart disease.",
"157","EatVegMaintain","Fight back with veggies","Vegetables and legumes are an important source of many nutrients to tackle many lifestyle-related medical conditions.",
"155","EatfruitMaintain","Keep variety","Focus on variety by including different types and colours",
"9","ExecrciseMaintain","Get Moving","Keep active and get regular exercise.",
"22","ExercisDailyStrength","Do a little bit of exercise every day","Try to include some strength-training exercise once or twice a week. ",
