"PointsEntryCategory"
"key","code","name","note",
"2","Adjustment","Adjustment","Adjustment",
"5","Assessment","Assessment","Adjustment",
"1","BoosterPoints","Booster Points","Booster Points",
"3","Fitness","Fitness","Fitness",
"8","GetActive","Get Active","Get Active",
"4","HealthyFood","Healthy Food","Healthy Food",
"7","Nutrition","Nutrition","Nutrition",
"11","Other","Other","Other",
"6","Screening","Screening","Screening",
"9","VHC","VHC","VHC - Vitality Health Check",
"10","VHR","VHR","VHR - Vitality Health Review",
"12","Vaccinations","Vaccinations","Vaccinations",
