"PointsEntryType"
"key","code","name","note","pointsEntryCategory",
"11","BMI","BMI","null","null",
"12","BMIHR","BMIHR","null","null",
"15","BloodPressure","BloodPressure","null","null",
"16","BloodPressureHR","BloodPressureHR","null","null",
"50","Cardiovascular","Cardiovascular Screening","Cardiovascular Screening","null",
"9","CholesterolHR","CholesterolHR","null","null",
"47","Colonoscopy","Colonoscopy Screening","Colonoscopy Screening","null",
"35","Cycling","Cycling","Cycling","null",
"45","DentalCheckups","Dental Checkups Screening","Dental Checkups Screening","null",
"30","DeviceLinking","DeviceLinking","null","null",
"7","Distance","Distance","null","null",
"5","EnergyExpend","EnergyExpend","null","null",
"46","FOBT","Faecal Occult Blood Test (FOBT) Screening","Faecal Occult Blood Test (FOBT) Screening","null",
"53","Flu","Flu Vaccination","Flu Vaccination","null",
"41","GastricCancer","Gastric Cancer Screening","Gastric Cancer Screening","null",
"43","Glaucoma","Glaucoma Screening","Glaucoma Screening","null",
"13","BloodGlucose","BloodGlucose","null","null",
"14","GlucoseHR","GlucoseHR","null","null",
"37","GymVisit","GymVisit","GymVisit","null",
"44","HIV","Human Immunodeficiency Virus (HIV) Screening","Human Immunodeficiency Virus (HIV) Screening","null",
"54","HPV","Human Papillomavirus (HPV) Vaccination","Human Papillomavirus (HPV) Vaccination","null",
"17","HbA1c","HbA1c","null","null",
"18","HbA1cHR","HbA1cHR","null","null",
"38","HealthyFoodSpend","althy Food Spend","Healthy Food spend for the member","null",
"4","Heartrate","Heartrate","null","null",
"57","HepatitisB","Hepatitis-B Vaccination","Hepatitis-B Vaccination","null",
"21","LDLCholesterol","LDLCholesterol","null","null",
"22","LDLCholesterolHR","LDLCholesterolHR","null","null",
"24","LipidRatio","Lipid Ratio","null","null",
"25","LipidRatioHR","Lipid Ratio Healthy Range","null","null",
"52","LiverCancer","Liver Cancer Screening","Liver Cancer Screening","null",
"49","LungCancer","Lung Cancer Screening","Lung Cancer Screening","null",
"28","MWBPsychological","MWB Psychological Assessment Completed","null","null",
"29","MWBSocial","MWB Social Assessment Completed","null","null",
"27","MWBStressor","MWB Stressor Assessment Completed","null","null",
"39","Mammography","Mammography Screening","Mammography Screening","null",
"36","ManualPoints","Manual Points","Points manually allocated","null",
"2","MeasuredFitComplete","MeasuredFitComplete","null","null",
"3","NonsmokersDeclrtn","NonsmokersDeclrtn","null","null",
"23","OFE","OFE","null","null",
"51","OvarianCancer","Ovarian Cancer Screening","Ovarian Cancer Screening","null",
"42","PSA","Prostate Specific Antigen (PSA) Screening","Prostate Specific Antigen (PSA) Screening","null",
"40","PapSmear","Pap Smear Screening","Pap Smear Screening","null",
"55","Pneumococcal","Pneumococcal Vaccination","Pneumococcal Vaccination","null",
"31","Running","Running","Running","null",
"48","SkinCancer","Skin Cancer Screening","Skin Cancer Screening","null",
"6","Speed","Speed","null","null",
"10","Steps","Steps","null","null",
"33","Swimming","Swimming","Swimming","null",
"8","TotCholesterol","TotCholesterol","null","null",
"32","Triathlon","Triathlon","Triathlon","null",
"19","UrineProtien","UrineProtein","null","null",
"20","UrineProtienHR","UrineProteinHR","null","null",
"1","VHRAssmntCompleted","VHRAssmntCompleted","null","null",
"26","VNAAssmntCompleted","VNAAssmntCompleted","null","null",
"34","Walking","Walking","Walking","null",
"56","Zoster","Zoster Vaccination","Zoster Vaccination","null",
