"PostalCode"
"key","code","name","note",
"3117","1000 (PO Box Code)","1000 (PO Box Code) CULLINAN","1000 (PO Box Code) CULLINAN,-,Gauteng,South Africa",
"3116","1000 (Street Code)","1000 (Street Code) CULLINAN","1000 (Street Code) CULLINAN,-,Gauteng,South Africa",
"14852","1001 (PO Box Code)","1001 (PO Box Code) RAYTON","1001 (PO Box Code) RAYTON,-,Mpumalanga,South Africa",
"14851","1001 (Street Code)","1001 (Street Code) RAYTON","1001 (Street Code) RAYTON,-,Mpumalanga,South Africa",
"3365","1002 (PO Box Code)","1002 (PO Box Code) DE WAGENSDRIFT","1002 (PO Box Code) DE WAGENSDRIFT,CULLINAN,Gauteng,South Africa",
"14884","1003 (PO Box Code)","1003 (PO Box Code) REFILWE","1003 (PO Box Code) REFILWE,CULLINAN,Gauteng,South Africa",
"14956","1004 (PO Box Code)","1004 (PO Box Code) RETANG","1004 (PO Box Code) RETANG,CULLINAN,Gauteng,South Africa",
"18943","1005 (PO Box Code)","1005 (PO Box Code) VOORUITSTREWEND","1005 (PO Box Code) VOORUITSTREWEND,CULLINAN,Gauteng,South Africa",
"10009","1007 (PO Box Code)","1007 (PO Box Code) MAKULEKE","1007 (PO Box Code) MAKULEKE,MALAMULELE,Limpopo,South Africa",
"16362","1008 (PO Box Code)","1008 (PO Box Code) SHINGWEDZI","1008 (PO Box Code) SHINGWEDZI,MALAMULELE,Limpopo,South Africa",
"10093","101 (PO Box Code)","101 (PO Box Code) MAMELODI","101 (PO Box Code) MAMELODI,PRETORIA,Gauteng,South Africa",
"10747","102 (PO Box Code)","102 (PO Box Code) MENLO PARK","102 (PO Box Code) MENLO PARK,-,Gauteng,South Africa",
"8677","1022 (Street Code)","1022 (Street Code) KWAMHLANGA","1022 (Street Code) KWAMHLANGA,BRONKHORSTSPRUIT,Mpumalanga,South Africa",
"16631","1023 (PO Box Code)","1023 (PO Box Code) SOMAROBOGO","1023 (PO Box Code) SOMAROBOGO,KWAMHLANGA,Mpumalanga,South Africa",
"8619","1025 (PO Box Code)","1025 (PO Box Code) KWA-DIMA","1025 (PO Box Code) KWA-DIMA,BRONKHORSTSPRUIT,Mpumalanga,South Africa",
"14961","1026 (PO Box Code)","1026 (PO Box Code) RETHABISENG","1026 (PO Box Code) RETHABISENG,BRONKHORSTSPRUIT,Mpumalanga,South Africa",
"18703","1027 (PO Box Code)","1027 (PO Box Code) VALTAKI","1027 (PO Box Code) VALTAKI,BRONKHORSTSPRUIT,Mpumalanga,South Africa",
"4389","1028 (PO Box Code)","1028 (PO Box Code) EKANDUSTRIA","1028 (PO Box Code) EKANDUSTRIA,BRONKHORSTSPRUIT,Mpumalanga,South Africa",
"11230","1029 (PO Box Code)","1029 (PO Box Code) MOLOTO","1029 (PO Box Code) MOLOTO,Mpumalanga,South Africa",
"10816","103 (PO Box Code)","103 (PO Box Code) MEYERSPARK","103 (PO Box Code) MEYERSPARK,PRETORIA,Gauteng,South Africa",
"1357","1032 (PO Box Code)","1032 (PO Box Code) BLACKHILL","1032 (PO Box Code) BLACKHILL,WITBANK,Mpumalanga,South Africa",
"2844","1033 (PO Box Code)","1033 (PO Box Code) COALVILLE","1033 (PO Box Code) COALVILLE,WITBANK,Mpumalanga,South Africa",
"2788","1036 (PO Box Code)","1036 (PO Box Code) CLEWER","1036 (PO Box Code) CLEWER,WITBANK,Mpumalanga,South Africa",
"645","1037 (PO Box Code)","1037 (PO Box Code) BALMORAL","1037 (PO Box Code) BALMORAL,WITBANK,Mpumalanga,South Africa",
"9284","1038 (PO Box Code)","1038 (PO Box Code) LERAATSFONTEIN","1038 (PO Box Code) LERAATSFONTEIN,WITBANK,Mpumalanga,South Africa",
"3570","1042 (PO Box Code)","1042 (PO Box Code) DIE HEUWEL","1042 (PO Box Code) DIE HEUWEL,WITBANK,Mpumalanga,South Africa",
"15213","1042 (Street Code)","1042 (Street Code) RIVER CRESCENT","1042 (Street Code) RIVER CRESCENT,WITBANK,Mpumalanga,South Africa",
"16942","1043 (PO Box Code)","1043 (PO Box Code) STAALVELD","1043 (PO Box Code) STAALVELD,WITBANK,Mpumalanga,South Africa",
"6984","1045 (PO Box Code)","1045 (PO Box Code) HLALANIKAHLE","1045 (PO Box Code) HLALANIKAHLE,WITBANK,Mpumalanga,South Africa",
"9025","1046 (PO Box Code)","1046 (PO Box Code) LANGKLOOF","1046 (PO Box Code) LANGKLOOF,WITBANK,Mpumalanga,South Africa",
"16159","1047 (PO Box Code)","1047 (PO Box Code) SEHLAKWANE","1047 (PO Box Code) SEHLAKWANE,WITBANK,Mpumalanga,South Africa",
"13926","1048 (PO Box Code)","1048 (PO Box Code) PINE RIDGE","1048 (PO Box Code) PINE RIDGE,WITBANK,Mpumalanga,South Africa",
"11381","105 (PO Box Code)","105 (PO Box Code) MONUMENTPARK","105 (PO Box Code) MONUMENTPARK,PRETORIA,Gauteng,South Africa",
"10972","1050 (Street Code)","1050 (Street Code) MINERALIA","1050 (Street Code) MINERALIA,MIDDELBURG,Mpumalanga,South Africa",
"413","1051 (PO Box Code)","1051 (PO Box Code) ARNOT","1051 (PO Box Code) ARNOT,MIDDELBURG,Mpumalanga,South Africa",
"17062","1056 (PO Box Code)","1056 (PO Box Code) STOFFBERG","1056 (PO Box Code) STOFFBERG,MIDDELBURG,Mpumalanga,South Africa",
"12282","1058 (PO Box Code)","1058 (PO Box Code) NGWABE","1058 (PO Box Code) NGWABE,SEKHUKHUNE,Mpumalanga,South Africa",
"5251","106 (PO Box Code)","106 (PO Box Code) FIELD POST OFFICE 3","106 (PO Box Code) FIELD POST OFFICE 3,PRETORIA,Gauteng,South Africa",
"10461","1060 (PO Box Code)","1060 (PO Box Code) MASEMOLA","1060 (PO Box Code) MASEMOLA,GROBLERSDAL,North West Province,South Africa",
"5934","1061 (PO Box Code)","1061 (PO Box Code) GLEN COWIE","1061 (PO Box Code) GLEN COWIE,GROBLERSDAL,North West Province,South Africa",
"9970","1062 (PO Box Code)","1062 (PO Box Code) MAKADIKWE","1062 (PO Box Code) MAKADIKWE,MARBLE HALL,North West Province,South Africa",
"16173","1063 (PO Box Code)","1063 (PO Box Code) SEKWATI","1063 (PO Box Code) SEKWATI,SEKHUKHUNE,Mpumalanga,South Africa",
"8863","1065 (PO Box Code)","1065 (PO Box Code) LAERSDRIF","1065 (PO Box Code) LAERSDRIF,MIDDELBURG,Mpumalanga,South Africa",
"15513","1066 (PO Box Code)","1066 (PO Box Code) ROOSSENEKAL","1066 (PO Box Code) ROOSSENEKAL,MIDDELBURG,Mpumalanga,South Africa",
"10441","1067 (PO Box Code)","1067 (PO Box Code) MARULANENG","1067 (PO Box Code) MARULANENG,-,Mpumalanga,South Africa",
"5628","1068 (PO Box Code)","1068 (PO Box Code) GARAKGWADI","1068 (PO Box Code) GARAKGWADI,MIDDELBURG,Mpumalanga,South Africa",
"11726","1069 (PO Box Code)","1069 (PO Box Code) MPILO","1069 (PO Box Code) MPILO,MIDDELBURG,Mpumalanga,South Africa",
"52","1070 (PO Box Code)","1070 (PO Box Code) AERORAND","1070 (PO Box Code) AERORAND,MIDDELBURG,Mpumalanga,South Africa",
"10216","1071 (PO Box Code)","1071 (PO Box Code) MANOGE","1071 (PO Box Code) MANOGE,MIDDELBURG,Mpumalanga,South Africa",
"8642","1073 (Street Code)","1073 (Street Code) KWAGUQA","1073 (Street Code) KWAGUQA,WITBANK,Mpumalanga,South Africa",
"11177","1074 (PO Box Code)","1074 (PO Box Code) MOHLODI","1074 (PO Box Code) MOHLODI,WITBANK,Mpumalanga,South Africa",
"11654","1075 (PO Box Code)","1075 (PO Box Code) MOTSELEOPE","1075 (PO Box Code) MOTSELEOPE,WITBANK,Mpumalanga,South Africa",
"13422","1076 (PO Box Code)","1076 (PO Box Code) PAKANENG","1076 (PO Box Code) PAKANENG,WITBANK,Mpumalanga,South Africa",
"13818","1077 (PO Box Code)","1077 (PO Box Code) PHOKOANE","1077 (PO Box Code) PHOKOANE,WITBANK,Mpumalanga,South Africa",
"18303","1078 (PO Box Code)","1078 (PO Box Code) TSHWENENG","1078 (PO Box Code) TSHWENENG,MPUDULLE,Mpumalanga,South Africa",
"8508","1080 (PO Box Code)","1080 (PO Box Code) KRANSPOORT","1080 (PO Box Code) KRANSPOORT,WITBANK,Mpumalanga,South Africa",
"9461","1081 (PO Box Code)","1081 (PO Box Code) LODING","1081 (PO Box Code) LODING,WITBANK,Mpumalanga,South Africa",
"11711","1082 (PO Box Code)","1082 (PO Box Code) MPAKE","1082 (PO Box Code) MPAKE,WITBANK,Mpumalanga,South Africa",
