"ProductFeatureCategory"
"key","code","name","note","productFeatureCategory","productFeatureCategoryType",
"18","ActiveRewards","ActiveRewards","","null","null",
"33","ActiveRewardsPartner","Active Rewards Partners","Active Rewards Partners","null","null",
"17","AppleWatch","AppleWatch","","null","null",
"19","AssessmentsMobile","Assessments","Assessments","null","null",
"25","EarnPointsOnlineWeb","Earn Points Online","Earn Points Online","null","null",
"27","EatHealthyWeb","Eat Healthy","Eat Healthy","null","null",
"14","EntertainmentPartner","Entertainment Partner","","null","null",
"13","FitnessAssessment","Fitness Assessment","","null","null",
"8","FitnessDevice","Fitness Device","","null","null",
"22","GetActiveMobile","Get Active","Get Active","null","null",
"28","GetActiveWeb","Get Active","Get Active","null","null",
"9","GymAndFitness","Gym and Fitness","","null","null",
"26","HealthAssPrevCareWeb","Health Assessments and Preventative Care","Health Assessments and Preventative Care","null","null",
"4","HealthPartners","Health Partners","","null","null",
"7","HealthyFood","Healthy Food","","null","null",
"10","HealthyGear","Healthy Gear","","null","null",
"2","ImproveYourHealth","Improve Your Health","","null","null",
"24","ImproveYourHealthWeb","Improve Your Health","Improve Your Health","null","null",
"1","KnowYourHealth","Know Your Health","","null","null",
"23","KnowYourHealthWeb","Know Your Health","Know Your Health","null","null",
"20","NutritionMobile","Nutrition","Nutrition","null","null",
"29","OnlineAssessKYHWeb","Online Assessments","null","null","null",
"30","OtherAssessKYHWeb","Other Assessments ","null","null","null",
"15","Retail","Retail","","null","null",
"6","RewardPartners","Reward Partners","","null","null",
"3","Rewards","Rewards","","null","null",
"31","ScreenAndVaccPartner","ScreenAndVaccPartner","Screenings and Vaccinations Partners","null","null",
"21","ScreeningsMobile","Screenings","Screenings","null","null",
"11","StopSmoking","Stop Smoking","","null","null",
"16","Travel","Travel","","null","null",
"12","WeightManagement","Weight Management","","null","null",
"5","WellnessPartners","Wellness Partners","","null","null",
"34","CorporateBenefit","Corporate Benefit","","null","null",
