"ProductFeatureCategoryType"
"key","code","name","note",
"11","ARRewardsPartner","Active Rewards Partner","Active Rewards Partner",
"7","EarnPointsMobile","EarnPointsMobile","Mobile journey - Earn Points",
"9","EarnPointsWeb","EarnPointsWeb","How to earn points web",
"10","KnowYourHealthWeb","KnowYourHealthWeb","Know your Health web",
"1","Level0","Level0","Code and name will be updated?",
"2","Level1","Level1","Code and name will be updated?",
"3","Level2","Level2","Code and name will be updated?",
"4","Level3","Level3","Code and name will be updated?",
"5","Level4","Level4","Code and name will be updated?",
"6","Level5","Level5","Code and name will be updated?",
"8","MaintainStatusWeb","MaintainStatusWeb","Maintain status web journey",
"12","SVPartner","SVPartner","Screenings and Vaccinations Participating Partners Journey",
