"ProductFeatureType"
"key","code","name","note",
"29","ActiveRewards","ActiveRewards","ActiveRewards",
"38","ActiveRewardsPartner","Active Rewards Partner","Active Rewards Partner",
"6","ActivityTrack","Activity Tracking Devices and App","Activity Tracking Devices and App",
"2","Assessment","Assessment","Assessment",
"4","Benefit","Benefit","Vitality Active Benefit",
"1","DSConsent","Data Sharing Consent","Data Sharing Consent",
"33","Declaration","Declaration","Declaration",
"21","Disclaimer","Disclaimer","Disclaimer",
"20","EventsCategory","Events Category","Events Category Feature Type",
"31","Fitness","Fitness","Fitness",
"24","GymBenefit","Gym Benefit","Gym Benefit",
"17","Habits","Habits","Habits Declaration",
"3","HealthCheck","Health Check Tests","Health Check Tests",
"26","HealthyFoodBenefit","Healthy Food Benefit","Healthy Food Benefit",
"32","KnowYourHealth","Know Your Health","Know Your Health",
"28","MWBSections","MWB Sections","Mental Wellbeing Assessment (MWB) Section Questionnaires",
"27","PartnerAssessment","Partner Assessment","Partner Assessment",
"19","PointsCategory","Points Category","Points Category Feature Type",
"5","Programme","Programme","Vitality Active Programme",
"25","RetailBenefit
","Retail Benefit","Retail Benefit",
"14","ScreenAndVaccs","Screenings and Vaccinations (S&V)","Screenings and Vaccinations (S&V) Category",
"15","ScreenAndVaccsItems","Screenings and Vaccinations Items","Screenings and Vaccinations Items",
"34","Screenings","Screenings","Screenings",
"36","StopSmokingBenefit","Stop Smoking Benefit","Stop Smoking Benefit",
"30","TravelBenefit","Travel Benefit","Travel Benefit",
"7","VHCBMI","BMI","Body Mass Index (BMI) Readings",
"9","VHCBloodGlucose","Blood Glucose","Blood Glucose Readings",
"10","VHCBloodPressure","Blood Pressure","Blood Pressure Readings",
"11","VHCCholesterol","Cholesterol","Cholesterol Readings",
"12","VHCHbA1c","HbA1c","HbA1c Readings",
"23","VHCTemplate","VHCTemplate","VHC Template for download",
"18","VHCUrinaryProtein","Urinary Protein Test","Urinary Protein Test Readings",
"8","VHCWaistCircum","Waist Circumference","Waist Circumference Readings",
"13","VHRSections","VHR Sections","Vitality Health Review (VHR) Section Questionnaires",
"16","VNASections","VNA Sections","Vitality Nutrition Assessment (VNA) Sections Questionnaires",
"35","Vaccinations","Vaccinations","Vaccinations",
"22","VitalityStatus","Vitality Statuses","The vitality statuses for the product",
"37","WeightManageBenefit","Weight Management Benefit","Weight Management Benefit",
