"ProductPriceCategory"
"key","code","name","note",
"28","AdidasFlatRate","Standard discount for all AdidasDP purchase within limit.","Standard discount for all AdidasDP purchase within limit.",
"16","AdidasHGLim","Discount applicable when the limit is reached for AdidasHG","Discount applicable when the limit is reached for AdidasHG",
"27","AdidasHGLimit","Discount applicable when the limit is reached for AdidasHG","Discount applicable when the limit is reached for AdidasHG",
"17","AdidasHGTSTFlatRate","Flat rate discount applicable for AdidasHGTST","Flat rate discount applicable for AdidasHGTST",
"6","DeviceAbcLimitPrice","DeviceAbc Limit Price","DeviceAbc Limit Price",
"1","DeviceAbcPrice","DeviceAbcPrice","Pricing associated with DeviceAbc (example)",
"2","DeviceXyzBronze","DeviceXyzBronze","DeviceXyz pricing for bronze member",
"4","DeviceXyzGold","DeviceXyzGold","DeviceXyz pricing for gold members",
"5","DeviceXyzPlatinum","DeviceXyzPlatinum","DeviceXyz pricing for platinum members",
"3","DeviceXyzSilver","DeviceXyzSilver","DeviceXyz pricing for silver members",
"26","FFNationalFlat","Fitness First National Flat","Fitness First National Flat",
"25","FFRegionalFlat","Fitness First Regional Flat","Fitness First Regional Flat",
"29","GarminDPLimit","Discount applicable when the limit is reached for GarminDP","Discount applicable when the limit is reached for GarminDP",
"30","GarminFlatRate","Standard discount for all GarminDP purchase within limit.","Standard discount for all GarminDP purchase within limit.",
"18","KonamiCategory1","Konami Category 1","Konami Category 1",
"19","KonamiCategory2","Konami Category 2","Konami Category 2",
"20","KonamiCategory3","Konami Category 3","Konami Category 3",
"21","KonamiCategory4","Konami Category 4","Konami Category 4",
"24","NHGEligibleBranch","Nuffield Health Gym Non-Eligible Branch","null",
"9","OisixHFLim","Discount applicable when the limit is reached for OisixHF","Discount applicable when the limit is reached for OisixHF",
"10","OisixSTD","For all members who have not done VHR and VHC or Members whose VHR and VHC has expired","For all members who have not done VHR and VHC or Members whose VHR and VHC has expired",
"12","OisixVHRandVHC","For all members who have done their VHR and VHC","For all members who have done their VHR and VHC",
"11","OisixVHRorVHC","For all members who have done either their VHR or VHC","For all members who have done either their VHR or VHC",
"7","PolarDPLimit","PolarDPLimit","Discount applicable when the limit is reached for Polar.",
"8","PolarFlatRate","PolarFlatRate","Standard discount for all PolarDP purchase within limit.",
"22","RenaissanceGB","Renaissance Gym Benefit","Renaissance Gym Benefit flat discount",
"23","RenaissanceGBM","RenaissanceGBM","Renaissance Master Gym Benefit flat discount",
"13","SOFTBANKDP1_FlatRate","SOFTBANKDP1 - FlatRate Discount","SOFTBANKDP1 - FlatRate Discount",
"14","SOFTBANKDP2_FlatRate","SOFTBANKDP2 - FlatRate Discount","SOFTBANKDP2 - FlatRate Discount",
"15","SOFTBANKDP3_FlatRate","SOFTBANKDP3 - FlatRate Discount","SOFTBANKDP3 - FlatRate Discount",
