"PurchaseAmountType"
"key","code","name","note",
"9","DiscountAmount","DiscountAmount","The discount amount that the member will get for the item",
"12","NetAmount","NetAmount","Amount the member pays",
"8","RetailAmount ","RetailAmount ","The Price of an item purchased before any Vitality discounts",
"11","RewardQualifying","RewardQualifyingAmount ","The amount that the discount is calculated on",
"10","Tax ","Tax ","Tax amount for the item",
"2","TotalDiscountAmount ","TotalDiscountAmount ","The total discount amount that the member will get for the entire purchase",
"6","TotalDiscountReturn","TotalDiscountReturned ","Total discount amount of returned items. Calculated",
"7","TotalNetAmount","TotalNetAmount","Amount that the member pays",
"1","TotalRetailAmount","TotalRetailAmount ","The total Price of items purchased before any Vitality discounts",
"5","TotalRetailReturned ","TotalRetailReturned ","Total retail amount of returned items. Calculated",
"4","TotalRewardQualify","TotalRewardQualifyingAmount ","The total amount that the discount is calculated on",
"3","TotalTaxAmount ","TotalTaxAmount ","Total taxes for the purchase",
