"Question"
"key","code","name","note","questionType",
"212","ActiveSluggish","ActiveSluggish","ActiveSluggish","null",
"202","AffectPersonally","AffectPersonally","AffectPersonally","null",
"3","Age","Age","Age","null",
"92","AlcoholConsumption","AlcoholConsumption","AlcoholConsumption","null",
"94","AlcoholCriticising","AlcoholCriticising","AlcoholCriticising","null",
"93","AlcoholCutDown","AlcoholCutDown","AlcoholCutDown","null",
"95","AlcoholGuilty","AlcoholGuilty","AlcoholGuilty","null",
"96","AlcoholMorning","AlcoholMorning","AlcoholMorning","null",
"97","AlcoholPerWeek","AlcoholPerWeek","AlcoholPerWeek","null",
"180","AllergicIntolerant","AllergicIntolerant","AllergicIntolerant","null",
"8","AllergiesDrugUse","AllergiesDrugUse","AllergiesDrugUse","null",
"9","AllergiesMedCare","AllergiesMedCare","AllergiesMedCare","null",
"7","AllergiesQuestion","AllergiesQuestion","AllergiesQuestion","null",
"213","AnxiousPastMonth","AnxiousPastMonth","AnxiousPastMonth","null",
"11","ArthritisDrugUse","ArthritisDrugUse","ArthritisDrugUse","null",
"12","ArthritisMedCare","ArthritisMedCare","ArthritisMedCare","null",
"10","ArthritisQuestion","ArthritisQuestion","ArthritisQuestion","null",
"14","AsthmaDrugUse","AsthmaDrugUse","AsthmaDrugUse","null",
"15","AsthmaMedCare","AsthmaMedCare","AsthmaMedCare","null",
"13","AsthmaQuestion","AsthmaQuestion","AsthmaQuestion","null",
"87","AvgCigarettes","AvgCigarettes","AvgCigarettes","null",
"89","AvgCurrentlySmoke","AvgCurrentlySmoke","AvgCurrentlySmoke","null",
"121","AvgHoursSleepDay","AvgHoursSleepDay","AvgHoursSleepDay","null",
"116","AvgHrsCompInADay","AvgHrsCompInADay","AvgHrsCompInADay","null",
"117","AvgHrsMeetingsInADay","AvgHrsMeetingsInADay","AvgHrsMeetingsInADay","null",
"118","AvgHrsTVInADay","AvgHrsTVInADay","AvgHrsTVInADay","null",
"112","AvgMinsPerExercise","AvgMinsPerExercise","AvgMinsPerExercise","null",
"18","Back painMedCare","Back painMedCare","Back painMedCare","null",
"17","BackpainDrugUse","BackpainDrugUse","BackpainDrugUse","null",
"16","BackpainQuestion","BackpainQuestion","BackpainQuestion","null",
"134","BloodPressure","BloodPressure","BloodPressure","null",
"71","BloodPressureDYK","BloodPressureDYK","BloodPressureDYK","null",
"42","BloodPressureDrugUse","BloodPressureDrugUse","BloodPressureDrugUse","null",
"43","BloodPressureMedCare","BloodPressureMedCare","BloodPressureMedCare","null",
"41","BloodPressureQuest","BloodPressureQuest","BloodPressureQuest","null",
"153","Breakfast","Breakfast","Breakfast","null",
"170","ButterConsump","ButterConsump","ButterConsump","null",
"23","COPDDrugUse","COPDDrugUse","COPDDrugUse","null",
"24","COPDMedCare","COPDMedCare","COPDMedCare","null",
"22","COPDQuestion","COPDQuestion","COPDQuestion","null",
"20","CancerDrugUse","CancerDrugUse","CancerDrugUse","null",
"21","CancerMedCare","CancerMedCare","CancerMedCare","null",
"19","CancerQuestion","CancerQuestion","CancerQuestion","null",
"198","CarAccident","CarAccident","CarAccident","null",
