"QuestionType"
"key","code","name","note",
"4","CheckList","CheckList","CheckList",
"7","Date","Date","Date",
"6","DecimalRange","DecimalRange","DecimalRange",
"2","FormatText","FormatText","FormatText",
"3","FreeText","FreeText","FreeText",
"13","Label","Label","Label",
"12","MultiDecimalRange","MultiDecimalRange","MultiDecimalRange",
"11","MultiNumberRange","MultiNumberRange","MultiNumberRange",
"10","MultiSelect","MultiSelect","MultiSelect",
"1","NumberRange","NumberRange","NumberRange",
"5","OptionList","OptionList","OptionList",
"8","Percentage","Percentage","Percentage",
"9","SingleSelect","SingleSelect","SingleSelect",
