"QuestionnaireSections"
"key","code","name","note",
"2","AgeGender","Age and Gender","Age and Gender",
"14","AlcoholIntake","Your Alcohol Intake","Your Alcohol Intake",
"28","CalciumPotassium","Calcium and Potassium","Calcium and Potassium",
"19","DietaryPreference","Dietary Preferences","Dietary Preferences",
"22","EatHabits","Eating Habits","Eating Habits",
"15","EatingHabits","Your Eating Habits","Your Eating Habits",
"12","ExSmoker","Ex-smoker","Ex-smoker",
"5","FamilyMedicalHistory","Your Family?s Medical History","Your Family?s Medical History",
"31","Fats","Fats","Fats",
"20","FoodAllergies","Food Allergies and Intolerances","Food Allergies and Intolerances",
"21","FoodPreperation","Food Preperation","Food Preperation",
"9","KeyHba1c","Your Key Measurements/HbA1c","Your Key Measurements/HbA1c",
"6","KeyMeasurements","Your Key Measurements","Your Key Measurements",
"7","KeyMeasurementsBP","Your Key Measurements/Blood Pressure","Your Key Measurements/Blood Pressure",
"8","KeyMeasurementsGluc","Your Key Measurements/Glucose","Your Key Measurements/Glucose",
"10","KeyTotalCholesterol","Your Key Measurements/Cholesterol  Total Cholesterol","Your Key Measurements/Cholesterol  Total Cholesterol",
"23","MealPattern","Meal Pattern","Meal Pattern",
"30","Meats","Meats","Meats",
"4","MedicalHistory","Your Medical History","Your Medical History",
"25","Micronutrients","Micronutrients and Fibre","Micronutrients and Fibre",
"3","OverallHealth","Your Overall Health","Your Overall Health",
"16","PhysicalActivityLev","Your Physical Activity Levels","Your Physical Activity Levels",
"35","PsychWellbeing","Psychological Wellbeing","Psychological Wellbeing",
"29","SFA","Saturated Fatty Acids","Saturated Fatty Acids",
"17","SleepingPatterns","Your Sleeping Patterns","Your Sleeping Patterns",
"13","Smoker","Smoker","Smoker",
"11","Smoking","Smoking","Smoking",
"24","Snacks","Snacks","Snacks",
"36","SocialSupport","Social Support","Social Support",
"26","Sodium","Sodium","Sodium",
"33","StressorDiagnostic","Stressor Diagnostic","Stressor Diagnostic",
"27","Sugar","Sugar","Sugar",
"34","TraumaticEvents","Traumatic Events","Traumatic Events",
"1","YourDetails","Your Details","Your Details",
"18","YourWellbeing","Your Wellbeing","Your Wellbeing",
