"Reason"
"key","code","name","note","pointsContent","reasonCategory","reasonType",
"104","Annual","You have reached the annual membership points limit value for this activity","null","null","null","null",
"54","AnnualCategory","You have reached the annual individual points limit value for this activity category","null","null","null","null",
"101","Daily","You have reached the daily membership points limit value for this activity","null","null","null","null",
"51","DailyCategory","You have reached the daily individual points limit value for this activity category","null","null","null","null",
"211","HghrPtsAwardedGrped","Higher points have already been awarded for an activity in this group","null","null","null","null",
"216","HigherActivity","A higher points earning activity was submitted for this day","null","null","null","null",
"4","IndividualAnnual","You have reached the annual individual points limit value for this activity","null","null","null","null",
"1","IndividualDaily","You have reached the daily individual points limit value for this activity","null","null","null","null",
"3","IndividualMonthly","You have reached the monthly individual points limit value for this activity","null","null","null","null",
"2","IndividualWeekly","You have reached the weekly  individual points limit value for this activity","null","null","null","null",
"5","IndvMembershipPeriod","You have reached the individual points limit value for this activity in the current membership period","null","null","null","null",
"214","InsufficientActivity","Insufficient activity to earn points","null","null","null","null",
"210","MaxGroupedEvents","The maximum number of grouped events has been reached","null","null","null","null",
"202","MaximumEvents","The maximum number of events has been reached","null","null","null","null",
"200","MaximumPoints","You earned the maximum points available for this activity","null","null","null","null",
"55","MembPeriodCategory","You have reached the individual points limit value for this activity category in the current membership period","null","null","null","null",
"218","MembPeriodCategoryLimit","Only <PointsEntry.EarnedPoints> out of a posssible <PointsEntry.PotentialPoints> went towards your status because your physical activity threshold has now been achieved. ","MembPeriodCategoryLimit","null","null","null",
"217","MembPeriodPoints","Even though you may complete this activity more than once a membership period, you only earn points for this activity once every membership period.","MembPeriodPoints","null","null","null",
"154","MembershipAnnual","You have reached the annual membership points limit value for this activity category","null","null","null","null",
"151","MembershipDaily","You have reached the daily membership points limit value for this activity category","null","null","null","null",
"153","MembershipMonthly","You have reached the monthly membership points limit value for this activity category","null","null","null","null",
"155","MembershipPeriod","You have reached the membership points limit value for this activity category for the current membership period","null","null","null","null",
"152","MembershipWeekly","You have reached the weekly membership points limit value for this activity category","null","null","null","null",
"103","Monthly","You have reached the monthly membership points limit value for this activity","null","null","null","null",
"53","MonthlyCategory","You have reached the monthly individual points limit value for this activity category","null","null","null","null",
"206","NotFemale","You are not a female","null","null","null","null",
"215","NotHealthy","The measurement submitted did not fall within the healthy range","null","null","null","null",
"205","NotMale","You are not a male","null","null","null","null",
"212","NotVerified","Source of data is not verified","null","null","null","null",
"207","NotWithinRange","You are not within range","null","null","null","null",
"213","OFE","Organised Fitness Event","null","null","null","null",
"105","Period","You have reached the membership points limit value for this activity in the current membership period","null","null","null","null",
"201","PointsAlreadyAwarded","Points have already been awarded for this activity","null","null","null","null",
"204","TooOld","You are too old","null","null","null","null",
"208","TooSoon","Too soon since last event","null","null","null","null",
"209","TooSoonLastGrpedEvent","Too soon since last event grouped event","null","null","null","null",
"203","TooYoung","You are too young","null","null","null","null",
"102","Weekly","You have reached the weekly membership points limit value for this activity","null","null","null","null",
"52","WeeklyCategory","You have reached the weekly individual points limit value for this activity category","null","null","null","null",
