"ResolveReferenceType"
"key","code","name","note","type",
"7","Branch","Branch","Branch","A",
"8","CarrierUID","Carrier Unique Identity","Carrier Unique Identity","A",
"9","CustomerNumber","Customer Number","Customer Number","A",
"2","EXTERNALREFTYPE","External Reference Type","External Reference Type","A",
"3","MemberCard","Member Card","Member Card","A",
"10","NationalID","National Identity Number","National Identity Number","A",
"4","PARTNERCONTRACTNO","Partner Contract Number","Partner Contract Number","A",
"11","PartnerIdentifier","PartnerIdentifier","Partner Identifer that uniquely identifies a partner","A",
"5","PartnerMemberNumber","Partner Member Number","Partner Member Number","N",
"12","PartnerMembership","Partner Membership","Partner Membership","N",
"1","PartyID","Party ID","Party ID","N",
"6","PolicyNumber","Policy Number","Policy Number","A",
"13","VitalityMembership","Vitality Membership","Vitality Membership","N",
