"Section"
"key","code","name","note",
"3","MWBSection","MentalWellBeing","Mental Well Being",
"2","NutritionSection","Nutrition","Nutrition",
"10","VAgeAreasDoingWell","You are doing well in these areas.  Keep it up!","You are doing well in these areas.  Keep it up!",
"8","VAgeFocusImprovement","Focus on improving these first","Focus on improving these first",
"11","VAgeMoreDoingWell","Good going! Here’s some more","Good going! Here’s some more",
"9","VAgeMoreImprovements","Have a go at these improvements","Have a go at these improvements",
"13","VAgeMoreNeedToKnow","Have a look at these too","Have a look at these too",
"12","VAgeNeedToKnow","We still need to know these things about you","We still need to know these things about you",
"4","VAgeResultBad","What you need to improve","What you need to improve",
"5","VAgeResultGood","What you are doing well","What you are doing well",
"6","VAgeResultUnknown","What you have not provided","What you have not provided",
"7","VAgeSummary","Summary","Summary",
"1","VAgeSection","VitalityAge","Vitality Age",
