"UtilisationType"
"key","code","name","note","utilisationApplicabilityType","utilisationPeriodType",
"17","AdidasHGAmt","Amount utilisation for AdidasHG","Amount utilisation for AdidasHG","null","null",
"3","Device","Shared Device Utilisation","Shared Device Utilisation. Per Vitality Membership Period","null","null",
"1","DeviceAbc","Device Abc Utilisation","Utilisation for Device Abc. Per Vitality Membership Period","null","null",
"2","DeviceXyz","Device Xyz Utilisation","Utilisation for Device Xyz. Per Vitality Membership Period","null","null",
"14","GarminDPDisc","Flat rate discount for Garmin devices","Flat rate discount for Garmin devices","null","null",
"13","GarminDPLim","Discount applicable when the limit is reached for GarminDP","Discount applicable when the limit is reached for GarminDP","null","null",
"18","GarminDPLimit","Count utilisation for GarminDP","Count utilisation for GarminDP","null","null",
"10","GarminPolarShrdUtil","Utilization shared by Garmin and Polar","Utilization shared by Garmin and Polar","null","null",
"16","GarminVivoDPDisc","Flat rate discount for Garmin Vivo devices","Flat rate discount for Garmin Vivo devices","null","null",
"15","GarminVivoDPLim","Discount applicable when the limit is reached for GarminVivoDP","Discount applicable when the limit is reached for GarminVivoDP","null","null",
"9","OisixHFAmt","Amount utilisation for OisixHF","Amount utilisation for OisixHF","null","null",
"8","PolarDPCnt","Count utilisation for PolarDP","Count utilisation for PolarDP","null","null",
"4","TestProd1","Test product 1 utilisation","Monthly Utilisation for Test Product 1","null","null",
"5","TestProd2","Test product 2 utilisation","Yearly Utilisation for Test product 2","null","null",
"6","TestProd3","Test product 3 utilisation","Yearly Utilisation for Test Product 3. Per Vitality Membership. For Supplier 1","null","null",
"7","TestProd3S2","Test product 3 - Supplier2 Utilisation","Utilisation for Test Product 3 and supplier 2","null","null",
